SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Cercotrichas signata,Brown Scrub-Robin,brsrob1,species,23403.0157,BRSR BSRO,CESI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas quadrivirgata,Bearded Scrub-Robin,besrob1,species,23403.0158,BESR BSRO,CEQU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas quadrivirgata quadrivirgata,Bearded Scrub-Robin (Bearded),beascr1,issf,23403.01589,BESR BSRO,CEQU,,Passeriformes,Old World Flycatchers,Muscicapidae,besrob1,,
Cercotrichas quadrivirgata greenwayi,Bearded Scrub-Robin (Zanzibar),beascr2,issf,23403.016,BSRO BESR,CEQU,,Passeriformes,Old World Flycatchers,Muscicapidae,besrob1,,
Cercotrichas barbata,Miombo Scrub-Robin,misrob1,species,23403.0161,MSRO MISR,CEBA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas podobe,Black Scrub-Robin,blsrob1,species,23403.0164,BSRO BLSR,CEPO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,rtsrob1,species,23403.0168,RTSR RBCH,CEGA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas minor,African Scrub-Robin,afrscr1,species,23403.0171,ASRO AFSR RTSR,CEMI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas paena,Kalahari Scrub-Robin,kasrob1,species,23403.0176,KSRO KASR,CEPA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas hartlaubi,Brown-backed Scrub-Robin,bbsrob1,species,23403.0177,BBSR,CEHA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas leucophrys,Red-backed Scrub-Robin,rbsrob1,species,23403.0178,RBSR WBSR,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas leucophrys [leucoptera Group],Red-backed Scrub-Robin (White-winged),rebscr1,issf,23403.018,RBSR WBSR,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,rbsrob1,,
Cercotrichas leucophrys [leucophrys Group],Red-backed Scrub-Robin (Red-backed),rebscr2,issf,23403.0187,RBSR WBSR,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,rbsrob1,,
