SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Lepidocolaptes squamatus wagleri,Scaled Woodcreeper (Wagler's),scawoo4,Passeriformes
Lepidocolaptes squamatus squamatus,Scaled Woodcreeper (Scaled),scawoo3,Passeriformes
Lepidocolaptes falcinellus,Scalloped Woodcreeper,scawoo2,Passeriformes
Lepidocolaptes duidae,Duida Woodcreeper,linwoo4,Passeriformes
Lepidocolaptes albolineatus,Guianan Woodcreeper,linwoo3,Passeriformes
Lepidocolaptes fatimalimae,Inambari Woodcreeper,inawoo1,Passeriformes
Lepidocolaptes duidae/fatimalimae,Duida/Inambari Woodcreeper,y00968,Passeriformes
Lepidocolaptes fuscicapillus,Rondonia Woodcreeper,linwoo5,Passeriformes
Lepidocolaptes layardi,Layard's Woodcreeper,linwoo6,Passeriformes
Lepidocolaptes sp.,Lepidocolaptes sp.,lepido1,Passeriformes
Dendrocolaptinae sp.,woodcreeper sp.,woodcr1,Passeriformes
Xenops tenuirostris,Slender-billed Xenops,slbxen1,Passeriformes
Xenops minutus,Plain Xenops,plaxen1,Passeriformes
Xenops minutus [mexicanus Group],Plain Xenops (mexicanus Group),plaxen2,Passeriformes
Xenops minutus [genibarbis Group],Plain Xenops (genibarbis Group),plaxen3,Passeriformes
Xenops minutus minutus,Plain Xenops (White-throated),plaxen4,Passeriformes
Xenops rutilans,Streaked Xenops,strxen1,Passeriformes
Xenops tenuirostris/rutilans,Slender-billed/Streaked Xenops,y00738,Passeriformes
Xenops sp.,xenops sp.,xenops1,Passeriformes
Berlepschia rikeri,Point-tailed Palmcreeper,potpal1,Passeriformes
Microxenops milleri,Rufous-tailed Xenops,rutxen1,Passeriformes
Pygarrhichas albogularis,White-throated Treerunner,whttre2,Passeriformes
Ochetorhynchus andaecola,Rock Earthcreeper,rocear1,Passeriformes
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,stbear2,Passeriformes
Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,batear1,Passeriformes
Ochetorhynchus melanurus,Crag Chilia,crachi1,Passeriformes
