Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Chlidonias niger,Black tern,Black tern,blkter,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522292.mp3,s3.amazonaws.com/com-aab-media/photo/75237071-1280px.jpg,https://www.allaboutbirds.org/guide/Black_tern,1
Arenaria melanocephala,Black turnstone,Black turnstone,blktur,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522170.mp3,s3.amazonaws.com/com-aab-media/photo/75215131-1280px.jpg,https://www.allaboutbirds.org/guide/Black_turnstone,1
Coragyps atratus,Black vulture,Black vulture,blkvul,Cathartiformes,https://s3.amazonaws.com/com-aab-media/sound/522049.mp3,s3.amazonaws.com/com-aab-media/photo/75264421-1280px.jpg,https://www.allaboutbirds.org/guide/Black_vulture,1
Mniotilta varia,Black-and-white warbler,Black-and-white warbler,bawwar,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522878.mp3,s3.amazonaws.com/com-aab-media/photo/75259711-1280px.jpg,https://www.allaboutbirds.org/guide/Black-and-white_warbler,1
Picoides arcticus,Black-backed woodpecker,Black-backed woodpecker,bkbwoo,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522492.mp3,s3.amazonaws.com/com-aab-media/photo/75217171-1280px.jpg,https://www.allaboutbirds.org/guide/Black-backed_woodpecker,1
Coccyzus erythropthalmus,Black-billed cuckoo,Black-billed cuckoo,bkbcuc,Cuculiformes,https://s3.amazonaws.com/com-aab-media/sound/522333.mp3,s3.amazonaws.com/com-aab-media/photo/75262831-1280px.jpg,https://www.allaboutbirds.org/guide/Black-billed_cuckoo,1
Pica hudsonia,Black-billed magpie,Black-billed magpie,bkbmag1,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522660.mp3,s3.amazonaws.com/com-aab-media/photo/75263001-1280px.jpg,https://www.allaboutbirds.org/guide/Black-billed_magpie,1
Thalassarche melanophris,Black-browed albatross,Black-browed albatross,bkbalb,Procellariiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/mal16363a.jpg?itok=ZUa0842P,https://www.hbw.com/species/black-browed-albatross-thalassarche-melanophris#Taxonomy,1
Setophaga fusca,Blackburnian warbler,Blackburnian warbler,bkbwar,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522927.mp3,s3.amazonaws.com/com-aab-media/photo/75263451-1280px.jpg,https://www.allaboutbirds.org/guide/Blackburnian_warbler,1
Poecile atricapillus,Black-capped chickadee,Black-capped chickadee,bkcchi,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/508148.mp3,s3.amazonaws.com/com-aab-media/photo/75263541-1280px.jpg,https://www.allaboutbirds.org/guide/Black-capped_chickadee,1
Polioptila nigriceps,Black-capped gnatcatcher,Black-capped gnatcatcher,bkcgna,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/black-capped_gnatcatcher_03.jpg?itok=f1MUItdO,https://www.hbw.com/species/black-capped-gnatcatcher-polioptila-nigriceps#Taxonomy,1
Pterodroma hasitata,Black-capped petrel,Black-capped petrel,bkcpet,Procellariiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/PAG_7862.jpg?itok=NN5kHX_9,https://www.hbw.com/species/black-capped-petrel-pterodroma-hasitata#Taxonomy,1
Vireo atricapilla,Black-capped vireo,Black-capped vireo,bkcvir1,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522616.mp3,s3.amazonaws.com/com-aab-media/photo/75263781-1280px.jpg,https://www.allaboutbirds.org/guide/Black-capped_vireo,1
Basileuterus melanogenys,Black-cheeked warbler,Black-cheeked warbler,blcwar1,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/ASC_0527.JPG?itok=7WHimqa6,https://www.hbw.com/species/black-cheeked-warbler-basileuterus-melanogenys#Taxonomy,1
Archilochus alexandri,Black-chinned hummingbird,Black-chinned hummingbird,bkchum,Caprimulgiformes,https://s3.amazonaws.com/com-aab-media/sound/522406.mp3,s3.amazonaws.com/com-aab-media/photo/75263691-1280px.jpg,https://www.allaboutbirds.org/guide/Black-chinned_hummingbird,1
Spizella atrogularis,Black-chinned sparrow,Black-chinned sparrow,bkcspa,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/20110420-Black-chinned_Sparrow_01V1167.jpg?itok=GYgIOQSD,https://www.hbw.com/species/black-chinned-sparrow-spizella-atrogularis#Taxonomy,1
